60 255
1 1 6
2 2 6
3 3 6
4 4 7
5 5 7
6 6 7
7 7 7
8 8 7
9 9 7
10 10 6
11 11 6
12 12 6
13 13 7
14 14 7
15 15 7
16 16 7
17 17 7
18 18 7
19 19 7
20 20 7
21 21 7
22 22 7
23 23 7
24 24 7
25 25 7
26 26 7
27 27 7
28 28 7
29 29 7
30 30 7
31 31 6
32 32 6
33 33 6
34 34 6
35 35 6
36 36 6
37 37 6
38 38 6
39 39 6
40 40 7
41 41 7
42 42 7
43 43 5
44 44 5
45 45 5
46 46 6
47 47 6
48 48 6
49 49 6
50 50 6
51 51 6
52 52 7
53 53 7
54 54 7
55 55 7
56 56 7
57 57 7
58 58 6
59 59 6
60 60 6
1 2 2
1 3 2
1 10 1
1 16 1
1 19 1
1 22 1
2 3 2
2 11 1
2 17 1
2 20 1
2 23 1
3 12 1
3 18 1
3 21 1
3 24 1
4 5 2
4 6 2
4 10 1
4 28 1
4 34 1
4 40 1
4 58 1
5 6 2
5 11 1
5 29 1
5 35 1
5 41 1
5 59 1
6 12 1
6 30 1
6 36 1
6 42 1
6 60 1
7 8 2
7 9 2
7 16 1
7 19 1
7 22 1
7 37 1
7 52 1
8 9 2
8 17 1
8 20 1
8 23 1
8 38 1
8 53 1
9 18 1
9 21 1
9 24 1
9 39 1
9 54 1
10 11 2
10 12 2
10 25 1
10 37 1
11 12 2
11 26 1
11 38 1
12 27 1
12 39 1
13 14 2
13 15 2
13 22 1
13 25 1
13 40 1
13 43 1
13 58 1
14 15 2
14 23 1
14 26 1
14 41 1
14 44 1
14 59 1
15 24 1
15 27 1
15 42 1
15 45 1
15 60 1
16 17 2
16 18 2
16 40 1
16 49 1
16 52 1
17 18 2
17 41 1
17 50 1
17 53 1
18 42 1
18 51 1
18 54 1
19 20 2
19 21 2
19 28 1
19 52 1
19 55 1
20 21 2
20 29 1
20 53 1
20 56 1
21 30 1
21 54 1
21 57 1
22 23 2
22 24 2
22 25 1
22 49 1
23 24 2
23 26 1
23 50 1
24 27 1
24 51 1
25 26 2
25 27 2
25 31 1
25 46 1
26 27 2
26 32 1
26 47 1
27 33 1
27 48 1
28 29 2
28 30 2
28 34 1
28 46 1
28 49 1
29 30 2
29 35 1
29 47 1
29 50 1
30 36 1
30 48 1
30 51 1
31 32 2
31 33 2
31 43 1
31 55 1
31 58 1
32 33 2
32 44 1
32 56 1
32 59 1
33 45 1
33 57 1
33 60 1
34 35 2
34 36 2
34 40 1
34 55 1
35 36 2
35 41 1
35 56 1
36 42 1
36 57 1
37 38 2
37 39 2
37 46 1
37 49 1
38 39 2
38 47 1
38 50 1
39 48 1
39 51 1
40 41 2
40 42 2
40 58 1
41 42 2
41 59 1
42 60 1
43 44 2
43 45 2
43 55 1
44 45 2
44 56 1
45 57 1
46 47 2
46 48 2
46 52 1
47 48 2
47 53 1
48 54 1
49 50 2
49 51 2
50 51 2
52 53 2
52 54 2
52 55 1
53 54 2
53 56 1
54 57 1
55 56 2
55 57 2
56 57 2
58 59 2
58 60 2
59 60 2
