7 13
1 1 6
2 2 6
3 3 6
4 4 6
5 5 6
6 6 6
7 7 5
8 8 5
9 9 5
10 10 6
11 11 6
12 12 6
13 13 6
14 14 6
15 15 6
16 16 5
17 17 5
18 18 5
19 19 6
20 20 6
21 21 6
1 2 1
1 3 1
1 4 1
1 7 1
1 13 1
1 19 1
2 1 1
2 3 1
2 5 1
2 8 1
2 14 1
2 20 1
3 1 1
3 2 1
3 6 1
3 9 1
3 15 1
3 21 1
4 5 1
4 6 1
4 13 1
4 16 1
4 19 1
5 4 1
5 6 1
5 14 1
5 17 1
5 20 1
6 4 1
6 5 1
6 15 1
6 18 1
6 21 1
7 8 1
7 9 1
7 10 1
7 13 1
8 7 1
8 9 1
8 11 1
8 14 1
9 7 1
9 8 1
9 12 1
9 15 1
10 11 1
10 12 1
10 13 1
10 16 1
10 19 1
11 10 1
11 12 1
11 14 1
11 17 1
11 20 1
12 10 1
12 11 1
12 15 1
12 18 1
12 21 1
13 14 1
13 15 1
14 13 1
14 15 1
15 13 1
15 14 1
16 17 1
16 18 1
16 19 1
17 16 1
17 18 1
17 20 1
18 16 1
18 17 1
18 21 1
19 20 1
19 21 1
20 19 1
20 21 1
21 19 1
21 20 1
